user_name;hour;timezone
jlong"";"23";"-5"
patrickkettner"";"0";"-5"
FeeJai"";"9";"1"
fzaninotto"";"22";"1"
ieure"";"10";"-8"
trustin"";"18";"9"
apneadiving"";"0";"None"
kusor"";"17";"1"
brianmario"";"1";"-8"
danielmorrison"";"11";"-5"
sbeagley"";"15";"None"
subwindow"";"11";"-5"
svenfuchs"";"16";"1"
lloydwatkin"";"17";"0"
ForbesLindesay"";"9";"None"
jaredmorrow"";"14";"-7"
arthurzurb"";"16";"None"
danrice-square"";"13";"-5"
sampage"";"7";"10"
enjalot"";"23";"-8"
dfens"";"16";"1"
chrisbanes"";"17";"0"
grpaul"";"22";"-8"
neerajdotname"";"13";"-5"
methane"";"2";"9"
DataTables"";"1";"None"
aldomatic"";"12";"-6"
james2m"";"22";"0"
Synchro"";"9";"1"
jackmoore"";"12";"-5"
trogdoro"";"15";"None"
neatonk"";"11";"-6"
tonymcbeth"";"3";"None"
alindeman"";"22";"-5"
vojtajina"";"15";"-8"
adamlogic"";"8";"-5"
chriseppstein"";"16";"-8"
aaronblohowiak"";"21";"-8"
mpeltonen"";"13";"2"
chrisk"";"3";"-8"
macournoyer"";"10";"-5"
chriso"";"12";"10"
mbabker"";"20";"-6"
kormoc"";"21";"-8"
mingflifb"";"10";"None"
kchmck"";"15";"-5"
acaudwell"";"15";"12"
alexanderdickson"";"16";"10"
shepheb"";"15";"-5"
mbadolato"";"22";"-7"
manifestinteractive"";"0";"-5"
mjankowski"";"11";"-5"
mikedewar"";"10";"-5"
mitsuhiko"";"12";"0"
sorin-ionescu"";"15";"None"
sjl"";"11";"-5"
davebalmer"";"10";"-7"
hakimel"";"15";"1"
cldwalker"";"8";"-5"
abramsm"";"5";"None"
eczarny"";"22";"-5"
einars"";"2";"2"
Watson1978"";"1";"9"
TrevorBramble"";"0";"-8"
mage2-team"";"10";"None"
shadowhand"";"12";"-6"
rismoney"";"7";"None"
PGGB"";"11";"None"
johndyer"";"15";"-6"
liftoff"";"21";"-5"
sigurdga"";"15";"1"
DamianEdwards"";"22";"-8"
guilhermef"";"10";"-4"
niik"";"10";"1"
bitprophet"";"16";"-8"
Swaagie"";"15";"1"
Kobolog"";"22";"3"
schaermu"";"15";"1"
dcneiner"";"21";"-6"
joshthecoder"";"16";"-8"
rauhryan"";"15";"-6"
eventualbuddha"";"9";"-8"
dctrwatson"";"12";"-8"
nicklockwood"";"11";"0"
kmdavis"";"10";"-5"
thefosk"";"12";"-8"
kgn"";"14";"-8"
petdance"";"23";"-6"
AlanQuatermain"";"15";"-5"
TimCinel"";"17";"None"
aheckmann"";"11";"-8"
dodo"";"17";"None"
mattwynne"";"22";"0"
ecdavis"";"0";"-8"
tnm"";"15";"-8"
endor"";"16";"1"
mtougeron"";"18";"-8"
boourns"";"16";"-5"
pforhan"";"7";"None"
hybridauth"";"17";"1"
voxdolo"";"15";"-5"
dalmaer"";"17";"None"
sheelc"";"21";"None"
nick-mobfarm"";"6";"None"
dvor"";"0";"2"
mattgallagher"";"19";"None"
HPNeo"";"15";"None"
MrRio"";"0";"0"
progranism"";"22";"None"
yuki24"";"23";"-5"
edenman"";"16";"None"
seantimm"";"13";"None"
codename-"";"0";"0"
FichteFoll"";"15";"1"
ptgoetz"";"10";"-5"
netzpirat"";"16";"1"
mileszs"";"14";"-5"
PeterScott"";"15";"-8"
siebrand"";"6";"None"
kenearley"";"9";"-6"
bradlygreen"";"11";"-8"
stefanp"";"16";"-8"
dguzzo"";"0";"-8"
jaukia"";"10";"2"
fpereiro"";"7";"None"
mhevery"";"21";"None"
mantoni"";"22";"1"
stucox"";"11";"0"
vfr"";"17";"None"
jakesgordon"";"12";"-8"
infews"";"10";"-8"
sameeragarwal"";"23";"-8"
elight"";"17";"-5"
elbrujohalcon"";"11";"-3"
defunkt"";"11";"-8"
PaulUithol"";"14";"1"
sirthias"";"17";"1"
typicaljoe"";"22";"-8"
runemadsen"";"15";"-5"
bpoplauschi"";"5";"None"
ouchadam"";"12";"None"
domnikl"";"11";"1"
fabianrbz"";"17";"-3"
gabrielrinaldi"";"22";"-8"
DeadSuperHero"";"17";"-6"
javve"";"15";"1"
dnerdy"";"11";"-8"
samuelclay"";"15";"-8"
acdha"";"15";"-5"
aaronsw"";"7";"None"
matthewmccullough"";"21";"-7"
pkit"";"19";"2"
coolaj86"";"12";"-7"
