user_name;hour;timezone
jlong"";"23";"-5"
patrickkettner"";"0";"-5"
FeeJai"";"11";"1"
fzaninotto"";"22";"1"
ieure"";"10";"-8"
trustin"";"18";"9"
apneadiving"";"13";"None"
kusor"";"17";"1"
brianmario"";"15";"-8"
danielmorrison"";"10";"-5"
sbeagley"";"15";"None"
subwindow"";"11";"-5"
svenfuchs"";"16";"1"
lloydwatkin"";"14";"0"
ForbesLindesay"";"9";"None"
jaredmorrow"";"15";"-7"
arthurzurb"";"11";"None"
danrice-square"";"13";"-5"
sampage"";"14";"10"
enjalot"";"23";"-8"
dfens"";"16";"1"
chrisbanes"";"8";"0"
grpaul"";"18";"-8"
neerajdotname"";"15";"-5"
methane"";"2";"9"
DataTables"";"1";"None"
aldomatic"";"12";"-6"
james2m"";"18";"0"
Synchro"";"9";"1"
jackmoore"";"12";"-5"
trogdoro"";"15";"None"
neatonk"";"11";"-6"
tonymcbeth"";"3";"None"
alindeman"";"21";"-5"
vojtajina"";"15";"-8"
adamlogic"";"8";"-5"
chriseppstein"";"13";"-8"
aaronblohowiak"";"10";"-8"
mpeltonen"";"14";"2"
chrisk"";"3";"-8"
macournoyer"";"10";"-5"
chriso"";"10";"10"
mbabker"";"18";"-6"
kormoc"";"21";"-8"
mingflifb"";"10";"None"
kchmck"";"14";"-5"
acaudwell"";"15";"12"
alexanderdickson"";"16";"10"
shepheb"";"11";"-5"
mbadolato"";"12";"-7"
manifestinteractive"";"0";"-5"
mjankowski"";"11";"-5"
mikedewar"";"10";"-5"
mitsuhiko"";"12";"0"
sorin-ionescu"";"11";"None"
sjl"";"11";"-5"
davebalmer"";"18";"-7"
hakimel"";"15";"1"
cldwalker"";"8";"-5"
abramsm"";"5";"None"
eczarny"";"21";"-5"
einars"";"23";"2"
Watson1978"";"0";"9"
TrevorBramble"";"23";"-8"
mage2-team"";"11";"None"
shadowhand"";"11";"-6"
rismoney"";"7";"None"
PGGB"";"9";"None"
johndyer"";"15";"-6"
liftoff"";"21";"-5"
sigurdga"";"15";"1"
DamianEdwards"";"17";"-8"
guilhermef"";"10";"-4"
niik"";"0";"1"
bitprophet"";"16";"-8"
Swaagie"";"15";"1"
Kobolog"";"22";"3"
schaermu"";"15";"1"
dcneiner"";"21";"-6"
joshthecoder"";"16";"-8"
rauhryan"";"14";"-6"
eventualbuddha"";"9";"-8"
dctrwatson"";"12";"-8"
nicklockwood"";"10";"0"
kmdavis"";"10";"-5"
thefosk"";"12";"-8"
kgn"";"15";"-8"
petdance"";"23";"-6"
AlanQuatermain"";"16";"-5"
TimCinel"";"17";"None"
aheckmann"";"15";"-8"
dodo"";"12";"None"
mattwynne"";"22";"0"
ecdavis"";"0";"-8"
tnm"";"23";"-8"
endor"";"16";"1"
mtougeron"";"9";"-8"
boourns"";"17";"-5"
pforhan"";"7";"None"
hybridauth"";"8";"1"
voxdolo"";"16";"-5"
dalmaer"";"12";"None"
sheelc"";"22";"None"
nick-mobfarm"";"6";"None"
dvor"";"0";"2"
mattgallagher"";"19";"None"
HPNeo"";"9";"None"
MrRio"";"10";"0"
progranism"";"23";"None"
yuki24"";"22";"-5"
edenman"";"10";"None"
seantimm"";"20";"None"
codename-"";"23";"0"
FichteFoll"";"15";"1"
ptgoetz"";"13";"-5"
netzpirat"";"10";"1"
mileszs"";"14";"-5"
PeterScott"";"15";"-8"
siebrand"";"5";"None"
kenearley"";"11";"-6"
bradlygreen"";"15";"-8"
stefanp"";"16";"-8"
dguzzo"";"0";"-8"
jaukia"";"10";"2"
fpereiro"";"7";"None"
mhevery"";"21";"None"
mantoni"";"22";"1"
stucox"";"9";"0"
vfr"";"11";"None"
jakesgordon"";"12";"-8"
infews"";"10";"-8"
sameeragarwal"";"23";"-8"
elight"";"17";"-5"
elbrujohalcon"";"11";"-3"
defunkt"";"19";"-8"
PaulUithol"";"14";"1"
sirthias"";"15";"1"
typicaljoe"";"22";"-8"
runemadsen"";"15";"-5"
bpoplauschi"";"0";"None"
ouchadam"";"15";"None"
domnikl"";"11";"1"
fabianrbz"";"21";"-3"
gabrielrinaldi"";"22";"-8"
DeadSuperHero"";"16";"-6"
javve"";"23";"1"
dnerdy"";"13";"-8"
samuelclay"";"15";"-8"
acdha"";"15";"-5"
aaronsw"";"13";"None"
matthewmccullough"";"14";"-7"
pkit"";"19";"2"
coolaj86"";"12";"-7"
